SongName,Artist,Verse Start,Verse End,Audio on Git,Lyrics on Git
Children's Story,Slick Rick,29,166,Yes,Yes
Get By,Talib Kweli,11,65,Yes,Yes
Hypnotize,Notorious B.I.G.,6,50,Yes,Yes
It's Tricky,Run DMC,24,39,Yes,Yes
What They Do,The Roots,46,87,Yes,Yes
Who Am I,Snoop Dogg,26,55,Yes,Yes
Elevators,Outkast,21,80,Yes,
Why You Wanna,T.I. ,30,71,Yes,
3030,Deltron 3030,67,131,Yes,
A.D.H.D.,Kendrick Lamar,17,70,Yes,
All Tan Everything,Das Racist,34,102,Yes,
Black & Yellow,Wiz Khalifa,35,70,Yes,
Blu Collar Worker,Blu,21,83,Yes,
Butt In The Mean Time,Black Sheep,23,78,Yes,
Coolie High,Camp Lo,23,90,Yes,
Country Grammar,Nelly,26,73,Yes,
Damn It Feels Good to be a Gangster,Geto Boys,20,65,Yes,
Drop It Like It's Hot,Snoop Dogg & Pharrell,46,87,Yes,
Favorite Song,Chance The Rapper,12,49,Yes,
Handlebars,Flobots,26,53,Yes,
Hipster Girls,IamSu,14,60,Yes,
I Got 5 On It,The Luniz,21,88,Yes,
Let Me Ride,Dr. Dre,13,65,Yes,
Lost Ones,Lauren Hill,10,124,Yes,
Marvin Gaye & Chardonnay,Big Sean,30,60,Yes,
Mass Appeal,GangStarr,20,55,Yes,
Mezmorized,Wiz Khalifa,52,104,Yes,
Monster,Kanye West & Jay-Z,51,123,Yes,
No Lie,2 Chains,14,60,Yes,
No Sleep Till Brooklyn,Beastie Boys,21,51,Yes,
Not Here Anymore,Phonte,13,68,Yes,
Pouches of Tuna,Action Bronson,34,80,Yes,
Pound,Stalley,13,90,Yes,
Rebirth fo Slick,Digible Planets,39,88,Yes,
Rigamortus,Kendrick Lamar,26,90,Yes,
Shutterbug,Big Boi & Cutty,20,59,Yes,
Southern Hospitality,Ludacris,20,60,Yes,
Stakes Is High,De La Soul,46,70,Yes,
Still Not A Player,Big Punisher,31,71,Yes,
Swimming Pools,Kendrick Lamar,25,50,Yes,
The Corner,Common,15,65,Yes,
Up Up & Away,Kid Cudi,12,46,Yes,
Whatever U Want,Consequence,3,13,Yes,
Life Is Better,Q-Tip,22,82,Yes,
